Computer Science,DSA,Sorting,Quick Sort,Lomuto Partition,GFG Link
Computer Science,DSA,Sorting,Quick Sort,Hoare Partition,Notes
Computer Science,DSA,Sorting,Merge Sort,Divide & Conquer,Article
Computer Science,DSA,Sorting,Heap Sort,Heapify Process,GFG Link
Computer Science,DSA,Sorting,Radix Sort,Bucket Strategy,Blog
Computer Science,DSA,Sorting,Counting Sort,Stable Counting,Examples
Computer Science,DSA,Sorting,Insertion Sort,Step Method,Notes
Computer Science,DSA,Trees,Binary Tree,BST Operations,Notes
Computer Science,DSA,Trees,AVL,Rotations,GFG Link
Computer Science,DSA,Trees,Red-Black Tree,Color Flip,Explanation
Computer Science,DSA,Trees,Segment Tree,Range Query,Guide
Computer Science,DSA,Trees,Fenwick Tree,Binary Indexed Tree,Article
Computer Science,DSA,Trees,Trie,Prefix Search,AutoComplete,Notes
Computer Science,DSA,Graphs,Representation,Adjacency List,Notes
Computer Science,DSA,Graphs,Representation,Adjacency Matrix,Notes
Computer Science,DSA,Graphs,Traversal,DFS Recursive,Blog
Computer Science,DSA,Graphs,Traversal,BFS Queue,GFG Link
Computer Science,DSA,Graphs,Shortest Path,Dijkstra,Min Heap Impl
Computer Science,DSA,Graphs,Shortest Path,Bellman Ford,Negative Edges
Computer Science,DSA,Graphs,Advanced,Topological Sort,Notes
Computer Science,DSA,Graphs,Advanced,Tarjan's SCC,GFG Link
Computer Science,DSA,Graphs,Advanced,Floyd Warshall,All Pairs,Guide
Computer Science,DSA,Hashing,Hash Table,Collision Handling,Guide
Computer Science,DSA,Hashing,Open Addressing,Double Hashing,Notes
Computer Science,DSA,Heap,Priority Queue,Applications,Notes

Computer Science,Programming,C++ Basics,Headers,#include Rules,Guide
Computer Science,Programming,C++ Basics,Compilation,Build Process,Notes
Computer Science,Programming,C++ Basics,Variables,Scope Rules,Tutorial
Computer Science,Programming,Templates,Function Templates,Article
Computer Science,Programming,Templates,Meta Programming,SFINAE Intro
Computer Science,Programming,STL,Vector,Operations,CPPReference
Computer Science,Programming,STL,Map,Balanced Tree Usage,Guide
Computer Science,Programming,Debugging,GDB,Breakpoints,Tutorial

Computer Science,OS,Processes,Threads,Context Switch,Notes
Computer Science,OS,Concurrency,Mutex,Deadlock Safety,GFG Link
Computer Science,OS,Scheduling,Round Robin,Queue Mechanism,Notes
Computer Science,OS,Memory,Virtual Memory,Page Tables,Tutorial
Computer Science,OS,Virtualization,Containers,Docker Layers,Docs

Computer Science,Networks,Layered Model,TCP/IP,3-Way Handshake,Tutorial
Computer Science,Networks,Protocols,HTTP,Methods,CheatSheet
Computer Science,Networks,Wireless,802.11,Security Modes,Notes
Computer Science,Networks,Transport,TCP Congestion Control,Guide

Computer Science,Databases,SQL,Joins,Inner vs Outer,Examples
Computer Science,Databases,Storage,Indexing,B-Tree vs B+ Tree,Guide
Computer Science,Databases,Transactions,ACID,Consistency,Article
Computer Science,Databases,Planning,Join Order,Hash/Merge Notes

Computer Science,Software Engineering,Design Patterns,Singleton,Anti-pattern
Computer Science,Software Engineering,Design Patterns,Observer,Events Handling
Computer Science,Software Engineering,Architecture,Microservices,Pros & Cons

Computer Science,System Design,Scaling,Caching,LRU Eviction,Article
Computer Science,System Design,Load Balancing,Round Robin,Notes
Computer Science,System Design,Storage,NoSQL,Document Model,Case Study

Computer Science,DevOps,CI/CD,Jenkins,Pipeline Setup,Article
Computer Science,DevOps,CI/CD,GitHub Actions,Workflow Examples
Computer Science,DevOps,Monitoring,ELK,Logstash Usage,Guide
Computer Science,DevOps,Metrics,Prometheus,Alert Rules,Docs
Computer Science,DevOps,Containers,Kubernetes,Deployment YAML,Docs

AI & ML,Supervised Learning,Regression,Linear Regression,Loss Functions,Notebook
AI & ML,Supervised Learning,Classification,Logistic Regression,Regularization,Article
AI & ML,Neural Networks,Perceptron,Activation Functions,Notes
AI & ML,Deep Learning,Backpropagation,Gradients,Optimizers,Tutorial
AI & ML,Optimization,SGD,Momentum,Contrast,Guide
AI & ML,Unsupervised Learning,Clustering,K-Means,Elbow Method,Exercise
AI & ML,Dimensionality Reduction,PCA,SVD Relation,Notes
AI & ML,Model Evaluation,ROC,AUC Interpretation,Notebook
AI & ML,Production,Serving,TF-Serving,REST Deploy,Guide
AI & ML,Feature Store,Pipelines,Online Consistency,Notes
AI & ML,Neural Networks,CNN,Filters,Image Features,Article
AI & ML,NLP,Word Embeddings,Word2Vec,Vector Space,Guide

Mathematics,Algebra,Polynomials,Factorization,Quadratic Forms,Study Material
Mathematics,Linear Algebra,Matrices,Decomposition,Eigenvalues,Cheatsheet
Mathematics,Probability,Bayes Theorem,Conditional Probability,Lecture Notes
Mathematics,Number Theory,Mod Arithmetic,Fast Exponentiation,Cheatsheet
Mathematics,Optimization,Convexity,Properties,Notes
Mathematics,Geometry,Trigonometry,Unit Circle,Angles,Notes

Statistics,Descriptive Data,Measures,Mean/Median/Mode,Examples
Statistics,Inferential Data,Hypothesis Testing,P-values,Notes
Statistics,Regression Analysis,Correlation,Pearson Coefficient,Study Notes

Cyber Security,Cryptography,Hashing,SHA-256,Properties,Article
Cyber Security,Cryptography,RSA,Key Generation,Math Notes
Cyber Security,Web Security,CSRF & XSS,Prevention,Tutorial
Cyber Security,Blockchain,Consensus,PoW vs PoS,Overview
Cyber Security,Blockchain,Data Structures,Merkle Tree,Integrity Proofs,Notes
Cyber Security,Network Security,Firewalls,Packet Filtering,Guide

Career & Learning,Interview Prep,System Design,Scalability Qs,Prep Notes
Career & Learning,Interview Prep,Behavioral,STAR Method,Examples
Career & Learning,Study Skills,Spaced Repetition,Anki Usage,Blog Post
Career & Learning,Projects,Labs,Capstone Ideas,Guide
Career & Learning,Career Roadmap,Software Engineer,Paths,Article

Electronics,Microprocessors,Architecture,Registers,Instruction Cycle,Tutorial
Electronics,Microprocessors,Pipelining,Stages,Performance,Notes
Electronics,IoT,Communication,MQTT,Message Broker,Article
Electronics,IoT,Sensors,Temperature,Calibration,Notes
Electronics,VLSI,Design,Logic Gates,CMOS Basics,Guide
Electronics,Control Systems,Feedback,PID Controller,Stability,Notes
Electronics,Embedded Systems,RTOS,Scheduling Techniques,Doc
Electronics,Circuits,Op-Amps,Comparator Design,Tutorial

Business,Marketing,Branding,Segmentation,Target Audience,Case Study
Business,Marketing,Digital Marketing,SEO,Ranking Strategies,Blog
Business,Finance,Investment,Stocks,Risk Management,Guide
Business,Finance,Accounting,Balance Sheet,Assets vs Liability,Workbook
Business,Management,Leadership,Decision Making,Frameworks,Notes
Business,Entrepreneurship,Startup Basics,Lean Canvas,Customer Fit,Article

Physics,Mechanics,Newton Laws,Force,Equilibrium,Notes
Physics,Mechanics,Motion,Projectile Motion,Range Formula,Cheatsheet
Physics,Electricity,Circuits,Ohm's Law,Resistance,Study Notes
Physics,Electricity,Electromagnetism,Faraday Law,Induced Current,Article
Physics,Optics,Lenses,Refraction,Real vs Virtual,Guide
Physics,Thermodynamics,Heat Transfer,Conduction,Examples
Physics,Quantum Physics,Duality,Double Slit Outcome,Video Link
Physics,Modern Physics,Relativity,Time Dilation,Theory Notes